dataset,scenario,lecturers,mode,seed,courses,positions,slotsRequested,candidateEdges,candidatesPerPosition,students,demandRatio,constraintsPerLecturer,msMean,msMin,msMax,msSd,repeats,msSetup,msGreedy,msRepair,msImprove,msIndividual,msReport,usPerSlot,slotsPerSecond,opsCanTake,opsFeasibleScan,opsFeasibleCandidates,opsGreedySortComparisons,opsLoadAdd,opsLoadRemove,opsDeficitEvaluations,opsDeficitLecturerScans,repairPasses,repairProbes,repairMoves,improvePasses,improveProbes,improveMoves,canTakePerSlot,slotsFilled,fillRate,totalDesirability,desirabilityBound,optimalityGap,meanDesirability,boundSlots,structuralErrors,ceilingViolations,ceilingViolationsBySearch,ceilingViolationsByIndividual,ceilingViolationsPreExisting,ceilingOverrunHours,floorViolations,floorShortfall,lecturersBelowFloor,hoursMean,hoursSd,hoursCv,hoursMin,hoursMax,hoursGini,coursesMean,coursesMax,utilisationMean,lecturersWithNoWork,studentsPlaced,studentsTotal,studentPlacementRate,issuesTotal,issuesUnfilled,issuesUnmetMinimum,issuesNoCandidates,issuesNoStudents,msArithmeticMean,planFingerprint
baseline-10,baseline,10,all,4080582519,18,111,113,444,4,247,0.81,4.7,36.297,36.297,38.767,1.029,3,0.052,23.355,11.837,1.443,0.228,0.159,321.213,3113,61513,14111,60921,6999,1305,1192,6250,6250,10,586,9,1,16,0,544.36,113,1,9783,9928,0.0146,86.58,113,0,2,0,2,0,220,1,1,1,485,140.8,0.29,286,780,0.16,5.8,8,0.822,0,247,247,1,1,0,1,0,0,37.385,c551b9d4
dense-candidates-10,dense-candidates,10,all,1713628490,23,154,162,1185,7.69,148,0.91,5.5,179.692,179.692,185.988,2.654,3,0.073,105.355,55.608,22.596,0.246,0.337,1109.21,902,257628,29832,254024,14835,7063,6901,39640,39640,21,2986,20,9,638,8,1590.3,162,1,14164,14834,0.0452,87.43,162,0,3,0,3,0,624,1,1,1,546.4,203.29,0.372,332,960,0.2,10,12,0.963,0,148,148,1,1,0,1,0,0,183.307,d371dfef
gaps-mode-10,gaps-mode,10,gaps,3460961093,17,110,53,399,3.63,370,0.84,4.7,10.009,10.009,11.112,0.456,3,0.08,4.816,4.271,0.428,0.585,0.212,188.85,5295,12304,3329,12047,1638,611,503,2630,2630,6,252,5,2,13,1,232.15,52,0.9811,4380,4588,0.0453,84.23,53,0,2,0,2,0,306,3,3,3,499.8,147.13,0.294,310,858,0.151,5.4,8,0.868,0,370,370,1,4,1,3,0,0,10.509,ddeee7b4
oversubscribed-10,oversubscribed,10,all,3756248996,42,235,250,878,3.74,270,1.36,8.5,123.852,123.852,128.514,2.094,3,0.082,120.867,0.668,2.297,0.177,0.222,495.406,2019,323035,76360,322434,38055,855,644,1360,1360,1,509,0,1,135,0,1292.14,211,0.844,16639,21303,0.2189,78.86,250,0,9,0,9,0,1772,5,11,4,746.6,151.85,0.203,344,892,0.096,10.7,13,1.296,0,270,270,1,44,39,5,0,0,125.566,c10f4aee
sparse-candidates-10,sparse-candidates,10,all,3834433095,17,105,106,190,1.81,303,0.84,3.7,10.371,10.371,11.476,0.484,3,0.04,9.732,1.183,0.06,0.144,0.129,97.84,10221,24492,12668,24425,6281,248,144,720,720,1,73,0,1,2,0,231.06,104,0.9811,8196,8416,0.0261,78.81,106,0,2,0,2,0,334,4,4,3,495.2,145.84,0.295,364,820,0.15,2.9,4,0.857,0,303,303,1,6,2,4,0,0,11.048,2d542fbf
tight-ceilings-10,tight-ceilings,10,all,2474672071,26,184,193,714,3.88,139,0.99,7.9,75.011,75.011,79.936,2.012,3,0.086,75.145,0.042,1.544,0.163,0.318,388.659,2573,199877,46481,199813,23144,282,89,900,900,1,0,0,1,89,0,1035.63,193,1,15872,16707,0.05,82.24,193,0,6,0,6,0,505,0,0,0,593.6,114.09,0.192,442,778,0.109,7.7,10,1.021,0,139,139,1,0,0,0,0,0,77.421,eab05094
tight-floors-10,tight-floors,10,all,1120974450,25,165,171,622,3.77,87,0.81,5.9,121.298,121.298,128.447,2.938,3,0.062,53.199,66.005,4.609,0.074,0.186,709.347,1410,134801,30661,131226,15245,7301,7130,37760,37760,47,3449,46,3,140,2,788.31,171,1,13790,14542,0.0517,80.64,171,0,1,0,1,0,104,8,8,6,484,102.95,0.213,322,704,0.116,8.4,12,0.817,0,87,87,1,8,0,8,0,0,124.632,76cb6f24
unconstrained-10,unconstrained,10,all,2609505827,20,142,153,455,3.2,81,0.81,0,36.659,36.659,37.936,0.547,3,0.056,36.531,0.031,0.109,0.059,0.141,239.599,4174,92273,24727,92296,12287,154,1,20,20,1,0,0,1,1,0,603.09,153,1,13572,13587,0.0011,88.71,153,0,2,0,2,0,298,0,0,0,487.4,166.21,0.341,164,780,0.183,6.7,12,0.812,0,81,81,1,0,0,0,0,0,37.18,37e06ecc
baseline-20,baseline,20,all,3243202964,51,320,330,1159,3.62,301,0.81,4.75,241.023,241.023,243.908,1.269,3,0.186,192.563,47.129,2.975,0.221,0.37,730.372,1369,480143,118610,478231,59140,3562,3232,27600,27600,7,1866,6,2,76,1,1454.98,330,1,27750,28417,0.0235,84.09,330,0,9,0,9,0,616,3,3,3,484,157.23,0.325,228,736,0.185,7.65,14,0.881,0,301,301,1,3,0,3,0,0,242.799,8d57f12e
dense-candidates-20,dense-candidates,20,all,1561413289,48,305,315,2783,9.12,265,0.81,4.95,698.94,698.94,710.094,4.716,3,0.102,418.821,250,32.477,0.233,0.258,2218.856,451,1062477,106187,1053475,52936,17065,16750,167360,167360,24,8439,23,11,591,10,3372.94,315,1,29180,29829,0.0218,92.63,315,0,7,0,7,0,474,2,2,2,487.4,148.75,0.305,178,720,0.174,10.4,15,0.852,0,265,265,1,2,0,2,0,0,703.65,abe458af
gaps-mode-20,gaps-mode,20,gaps,3782754918,50,307,158,1114,3.63,90,0.8,5,78.746,78.746,79.523,0.328,3,0.225,53.826,21.606,3.316,0.084,0.231,498.393,2006,127581,30492,126576,15167,1986,1656,14340,14340,7,955,6,4,71,3,807.47,156,0.9873,13085,13566,0.0355,83.88,158,0,4,0,4,0,252,4,4,4,477.5,144.11,0.302,172,730,0.17,8.05,12,0.869,0,90,90,1,6,2,4,0,0,79.193,85b656bb
oversubscribed-20,oversubscribed,20,all,2446196487,84,518,539,1977,3.82,416,1.35,8.5,572.505,572.505,594.087,9.804,3,0.166,561.99,2.3,8.873,0.374,0.449,1062.161,941,1398284,334399,1397124,166930,1657,1237,4900,4900,1,993,0,1,220,0,2594.22,420,0.7792,33944,46458,0.2694,80.82,539,0,20,0,20,0,2205,16,19,13,683.4,91.61,0.134,490,826,0.072,10.45,13,1.191,0,416,416,1,135,119,16,0,0,580.256,90f52303
sparse-candidates-20,sparse-candidates,20,all,891095012,35,249,262,395,1.59,445,0.82,5.15,60.884,60.884,65.541,2.162,3,0.086,56.6,2.52,1.317,0.221,0.27,232.382,4303,129673,72910,129519,36324,479,252,2240,2240,5,149,4,1,35,0,494.94,227,0.8664,17402,20507,0.1514,76.66,262,0,7,0,7,0,1020,8,40,7,445.8,267.94,0.601,0,932,0.343,2.7,7,0.842,1,445,445,1,43,35,8,0,0,62.485,788acdfe
tight-ceilings-20,tight-ceilings,20,all,3826301284,48,295,304,1121,3.8,418,0.98,7.55,177.264,177.264,182.829,2.416,3,0.098,174.682,0.054,2.193,0.951,0.306,583.106,1715,439711,106694,439678,53195,369,65,1320,1320,1,0,0,1,65,0,1446.42,304,1,26003,26659,0.0246,85.54,304,0,12,0,12,0,1613,0,0,0,585.5,174.83,0.299,284,936,0.166,6.85,12,1.082,0,418,418,1,0,0,0,0,0,179.466,481956c8
tight-floors-20,tight-floors,20,all,3158893009,37,279,287,1089,3.9,357,0.81,7,318.588,318.588,323.964,2.233,3,0.128,156.225,132.926,30.491,0.254,0.338,1110.062,901,368252,85739,364027,42726,8683,8396,94460,94460,50,3785,50,13,467,12,1283.11,287,1,24309,25103,0.0316,84.7,287,0,4,0,4,0,590,33,43,16,485.5,147.02,0.303,338,848,0.159,5.95,10,0.836,0,357,357,1,33,0,33,0,0,320.983,089adc6e
